faixa_etaria,orientsex,idgen,intersex,raca,idade,ondmora,defic,qualdefic,escol,ufnasc
44 a 48 anos,Gay/ Bicha,Travesti,Sim,Negra,44.0,SANTO CRISTO,Não,Sem informação,Ensino fundamental completo,Rio de Janeiro
39 a 43 anos,Lésbica/ Sapatão,Mulher Cisgênera,Não,Negra,36.0,MARÉ,Não,Sem informação,Pós-graduação incompleta,Rio de Janeiro
39 a 43 anos,Heterossexual,Mulher trans,Não,Negra,38.0,MARÉ,Não,Sem informação,Ensino médio completo,Rio de Janeiro
34 a 38 anos,Bissexual,Travesti,Não,Negra,33.0,DIVINEIA,Não,Sem informação,Ensino médio completo,Rio de Janeiro
23 a 27 anos,Heterossexual,Homem trans,Não,Branca,23.0,MARÉ,Não,Sem informação,Ensino médio completo,Rio de Janeiro
23 a 27 anos,Heterossexual,Mulher trans,Não,Negra,22.0,NÃO MORO EM COMUNIDADE,Não tenho certeza,Sem informação,Ensino médio  incompleto,Pernambuco
39 a 43 anos,Homossexual,Mulher trans,Não,Branca,40.0,MANGUINHOS,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
34 a 38 anos,Heterossexual,Mulher trans,Não,Negra,31.0,COMUNIDADE DO CACARECO,Não,Sem informação,Ensino médio completo,Rio de Janeiro
28 a 33 anos,Heterossexual,Mulher trans,Não,Negra,29.0,JACAREZINHO,Não,Sem informação,Ensino médio completo,Rio de Janeiro
23 a 27 anos,Gay/ Bicha,Homem Cisgênero,Não,Negra,24.0,COMPLEXO DO BOAÇÚ,Não,Sem informação,Ensino superior completo,Rio de Janeiro
34 a 38 anos,Gay/ Bicha,Homem Cisgênero,Não,Branca,34.0,MARÉ,Não,Sem informação,Ensino médio completo,Paraíba
23 a 27 anos,Bissexual,Homem Cisgênero,Não,Branca,25.0,MARÉ,Não,Sem informação,Ensino superior incompleto,Rio de Janeiro
34 a 38 anos,Gay/ Bicha,Homem Cisgênero,Não,Negra,31.0,MANGUEIRINHA/DUQUE DE CAXIAS,Não,Sem informação,Pós-graduação incompleta,Rio de Janeiro
28 a 33 anos,Assexual,Não binária,Não,Sem informação,29.0,MARÉ,Não,Sem informação,Ensino superior incompleto,Rio de Janeiro
18 a 22 anos,Gay/ Bicha,Mulher trans,Não,Negra,18.0,FURK MENDES,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
44 a 48 anos,Lésbica/ Sapatão,Mulher Cisgênera,Não,Negra,41.0,FURQUIM MENDES,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
39 a 43 anos,Lésbica/ Sapatão,Mulher Cisgênera,Não,Branca,37.0,FURQUIM MENDES,Não,Sem informação,Ensino médio  incompleto,Rio de Janeiro
39 a 43 anos,Lésbica/ Sapatão,Mulher Cisgênera,Não,Branca,37.0,FURQUIM MENDES,Não,Sem informação,Ensino médio  incompleto,Rio de Janeiro
23 a 27 anos,Lésbica/ Sapatão,Mulher trans,Sim,Negra,24.0,DICK,Não,Sem informação,Sem instrução,Rio de Janeiro
23 a 27 anos,Gay/ Bicha,Homem Cisgênero,Não,Negra,22.0,COMUNIDADE DA FURK MENDES,Não,Sem informação,Ensino médio completo,Rio de Janeiro
39 a 43 anos,Bissexual,Mulher Cisgênera,Sim,Branca,37.0,FURQUIM MENDES,Não,Sem informação,Ensino médio técnico completo,Rio de Janeiro
18 a 22 anos,Gay/ Bicha,Homem trans,Não,Negra,20.0,JARDIM AMÉRICA,Não,Sem informação,Ensino médio completo,Rio de Janeiro
23 a 27 anos,Bissexual,Mulher Cisgênera,Sim,Negra,21.0,DICK,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
28 a 33 anos,Gay/ Bicha,Homem Cisgênero,Não,Negra,29.0,BELFORD ROXO BAIXADA FLUMINENSE,Não,Sem informação,Ensino superior incompleto,Rio de Janeiro
49 a 53 anos,Homossexual,Homem Cisgênero,Não,Branca,49.0,Sem informação,Não,Sem informação,Ensino superior completo,Pernambuco
18 a 22 anos,Bissexual,Mulher Cisgênera,Não,Negra,20.0,VILA PAULINE,Não,Sem informação,Ensino superior incompleto,Rio de Janeiro
23 a 27 anos,Heterossexual,Mulher trans,Não,Negra,21.0,PACIÊNCIA - CESARINHO,Não,Sem informação,Ensino médio completo,Rio de Janeiro
34 a 38 anos,Lésbica/ Sapatão,Mulher Cisgênera,Talvez,Negra,34.0,PALMARES,Não,Sem informação,Ensino médio  incompleto,Rio de Janeiro
23 a 27 anos,Bissexual,Mulher Cisgênera,Não,Negra,24.0,NÃO MORO EM COMUNIDADE,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
23 a 27 anos,Bissexual,Mulher Cisgênera,Não,Negra,24.0,NÃO MORO EM COMUNIDADE,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
18 a 22 anos,Gay/ Bicha,Homem trans,Não,Negra,20.0,PALMARES,Sim,Intelectual,Ensino médio  incompleto,Rio de Janeiro
54 a 58 anos,Gay/ Bicha,Homem Cisgênero,Não,Negra,51.0,PALMARES,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
23 a 27 anos,Gay/ Bicha,Não binária,Sim,Negra,24.0,PALMARES,Não,Sem informação,Ensino médio  incompleto,Rio de Janeiro
54 a 58 anos,Gay/ Bicha,Homem Cisgênero,Não,Negra,51.0,PALMARES,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
34 a 38 anos,Heterossexual,Mulher trans,Não,Branca,33.0,PALMARES,Não,Sem informação,Ensino médio  incompleto,Minas gerais
